,diasourceid,ssobjectid,midpointtai,mag,filter,heliocentricx,heliocentricy
9724,6526938263432042422,-4950318593765005504,60042.381543033334,21.794056,y,-0.31204139661532887,-1.266847394865019
9725,-937713545368250151,2273612660283015889,60042.06865388253,21.15238,i,-1.922416316676417,0.07565113874093388
9726,6739342777979812061,5207977168285194080,60042.2508567269,20.678642,y,-1.9286374129404156,-0.40944996343879597
9727,6493952585413100108,-5684171453831213115,60042.053885525114,21.112062,y,-1.892538054286012,0.36081118488484776
9728,-7326527197582049638,6562730101494198620,60042.21790672901,21.473328,y,-1.8803754648506188,-0.31806553722922176
9729,-5974568653943149426,-3235306287091720752,60042.16450232698,22.826313,z,-1.9810739025125228,-0.17169109783064554
9730,-3971320082445422368,-8584330437981200781,60042.13815864183,21.792973,i,-1.9465846970123166,-0.09285633666757946
9731,-6514706816664577021,-3235306287091720752,60042.18066863685,21.912096,y,-1.9810486048448244,-0.17187355596504525
9732,5644196524585300503,2273612660283015889,60042.08515144954,21.253576,z,-1.9224350706266988,0.07549531968211452
9733,5902519192381936111,-2546366013305971099,60042.255778551415,21.269938,y,-1.9209454724171489,-0.5054058612597151
9734,1656604154709606569,-2546366013305971099,60042.270618214745,21.51373,y,-1.9209004503933356,-0.505586252383296
9735,3285156822116878911,5857658975818013814,60042.23508637451,21.498642,y,-1.673609394672938,-0.26648486549992134
9736,5947653103403851176,6562730101494198620,60042.202935972244,21.437965,y,-1.8804164251023554,-0.3178885186971968
9737,7990878363482257112,-8584330437981200781,60042.15437447996,21.948088,z,-1.946556873093966,-0.09305052284126898
9738,-2814985407286588078,-4098046364487471944,60042.08283820581,21.969074,z,-1.932120725698205,-0.005629348801840335
9739,-5381912608231787884,-6996156918468194435,60042.16765700512,22.640947,z,-1.980650794996339,-0.017624636171762086
9740,4695852228650227049,3983828876619117385,60042.3150716545,21.634043,z,-1.1680103105965125,-0.8508359542126998
9741,-7591946503118964904,8232768705991748505,60042.13000747307,21.745281,i,-1.8986387906678255,-0.012360437666961726
9742,-5595141912636027287,8232768705991748505,60042.14623400245,21.922743,z,-1.8986577847411046,-0.012515748298438866
9743,-796078772421418102,7540454731778648922,60042.18382126373,20.97386,y,-1.952939103609259,-0.023146021668357605
9744,-2349890909838372447,7540454731778648922,60042.16765700512,21.093945,z,-1.9529427817244893,-0.022938637144617285
9745,-1830791589040214019,-2162888554143885309,60042.29764006476,22.53069,z,-1.308260538506699,-0.5636435524467786
9746,-3232093091823233210,2448637191113202685,60042.00768876009,22.586498,i,-1.826888560910851,0.6386153724423668
9747,-8693479050663249635,-7407611117825311186,60041.98508830417,21.753168,r,-1.4673518712386848,0.6621756354088183
9748,7770268093076974671,958073441486869595,60042.1901722492,21.730068,y,-1.7032788074168668,-0.27678783726709705
9749,7234954158644502992,7613948308534143863,60042.09850413757,22.753685,z,-1.9766406240257643,0.21146537323241293
9750,-84427865898836086,4674718229651631705,60042.09204740245,22.07238,z,-1.7702218056535763,0.3283934159114702
9751,2821222817460352473,5128842700189505491,60042.15296652403,21.262396,z,-1.9834681885143444,-0.0014122499901928762
